Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,Employment Status,Health Status (Employment-Based),Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
PB63095,Washington,5568.95,Yes,Extended,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,79,21,53,1,7,Personal Auto,Personal L2,Offer1,Agent,407.44,Two-Door Car,Midsize
PY98628,Arizona,5568.95,Yes,Extended,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,79,21,53,1,7,Personal Auto,Personal L2,Offer1,Agent,407.44,Two-Door Car,Midsize
XQ51968,California,5568.95,Yes,Extended,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,79,21,53,1,7,Corporate Auto,Corporate L3,Offer1,Agent,407.44,Two-Door Car,Midsize
FD45309,Oregon,5568.95,Yes,Extended,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,79,21,53,1,7,Personal Auto,Personal L2,Offer1,Agent,407.44,Two-Door Car,Midsize
FU51754,Arizona,5568.95,Yes,Extended,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,79,21,53,1,7,Personal Auto,Personal L2,Offer1,Agent,407.44,Two-Door Car,Midsize
QU69375,Nevada,5568.95,Yes,Extended,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,79,21,53,1,7,Corporate Auto,Corporate L2,Offer1,Agent,407.44,Two-Door Car,Midsize
JG36165,California,6042.62,No,Extended,Bachelor,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,83,12,21,0,5,Personal Auto,Personal L1,Offer4,Web,904.39,Two-Door Car,Midsize
EP18940,Oregon,9472.97,No,Extended,Bachelor,01-01-11,Unemployed,Healthy,F,0,Suburban,Married,86,30,32,0,2,Personal Auto,Personal L3,Offer1,Call Center,412.8,Four-Door Car,Midsize
ZU96776,California,6189.12,No,Extended,Bachelor,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,90,4,18,0,5,Personal Auto,Personal L1,Offer1,Call Center,648,Two-Door Car,Large
VM34210,Washington,7399.03,No,Basic,College,01-01-11,Unemployed,Healthy,F,0,Urban,Married,101,28,34,0,6,Personal Auto,Personal L2,Offer1,Web,337.62,SUV,Midsize
LI85491,Oregon,3744.58,No,Basic,High School Or Below,01-01-11,Unemployed,Healthy,F,0,Suburban,Single,101,3,32,0,1,Personal Auto,Personal L3,Offer1,Agent,727.2,SUV,Small
ZO30377,California,3472.37,No,Premium,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,102,25,48,0,1,Personal Auto,Personal L3,Offer2,Agent,976.11,Four-Door Car,Midsize
VU79621,Oregon,8140,No,Basic,Master,01-01-11,Unemployed,Healthy,M,0,Suburban,Divorced,108,10,42,0,6,Personal Auto,Personal L2,Offer2,Branch,518.4,Sports Car,Large
CO68055,Oregon,30966.32,No,Basic,Bachelor,01-01-11,Unemployed,Healthy,M,0,Suburban,Married,109,18,2,0,2,Personal Auto,Personal L1,Offer3,Branch,691.4,SUV,Small
AE98193,Washington,7859.41,No,Basic,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,113,19,10,0,7,Personal Auto,Personal L1,Offer1,Branch,813.6,SUV,Midsize
HJ64239,California,8262.63,No,Basic,College,01-01-11,Unemployed,Healthy,F,0,Suburban,Single,113,25,55,0,3,Corporate Auto,Corporate L3,Offer1,Agent,813.6,SUV,Midsize
WL28610,California,4146.41,No,Basic,High School Or Below,01-01-11,Unemployed,Healthy,F,0,Suburban,Divorced,116,25,5,1,1,Corporate Auto,Corporate L3,Offer3,Branch,556.8,SUV,Midsize
LP47259,Arizona,8324.23,No,Extended,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,121,11,92,0,5,Corporate Auto,Corporate L3,Offer2,Branch,871.2,Sports Car,Midsize
FA90739,Oregon,12476.65,No,Extended,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,121,7,34,0,2,Corporate Auto,Corporate L3,Offer1,Call Center,871.2,SUV,Midsize
HA82735,Arizona,3857.95,No,Extended,Bachelor,01-01-11,Unemployed,Healthy,F,0,Suburban,Single,121,12,67,2,1,Personal Auto,Personal L2,Offer1,Web,1032.2,SUV,Midsize
HJ21793,Oregon,4648.54,No,Extended,Bachelor,01-01-11,Unemployed,Healthy,F,0,Suburban,Married,121,11,10,0,1,Personal Auto,Personal L1,Offer3,Call Center,1080.56,SUV,Midsize
NU57274,California,9354.13,No,Extended,Bachelor,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,135,24,67,0,8,Personal Auto,Personal L1,Offer1,Branch,972,SUV,Large
WX19595,Arizona,14429.89,No,Basic,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Married,198,4,31,0,9,Personal Auto,Personal L2,Offer4,Agent,962.16,Luxury Car,Small
JT47995,Arizona,60556.19,No,Extended,College,01-01-11,Unemployed,Healthy,F,0,Suburban,Married,204,35,45,0,2,Personal Auto,Personal L3,Offer1,Web,979.2,Luxury SUV,Large
HB29169,Washington,42462.97,No,Premium,Bachelor,01-01-11,Unemployed,Healthy,F,0,Suburban,Married,281,16,92,1,2,Personal Auto,Personal L3,Offer1,Branch,1499.81,Luxury SUV,Midsize
IU83998,Washington,11196.46,No,Premium,Bachelor,01-01-11,Unemployed,Healthy,F,0,Suburban,Married,298,26,94,0,1,Personal Auto,Personal L3,Offer1,Branch,2145.6,Luxury Car,Midsize
QG39997,Arizona,4212.8,No,Premium,College,01-01-11,Disabled,Healthy,F,10097,Rural,Married,110,17,69,0,1,Personal Auto,Personal L1,Offer1,Web,218.64,Four-Door Car,Midsize
SP56326,Arizona,7453,No,Premium,High School Or Below,01-01-11,Medical Leave,Unhealthy,F,12195,Suburban,Divorced,101,29,35,0,7,Personal Auto,Personal L3,Offer1,Branch,670.58,Four-Door Car,Midsize
QT46430,California,8193.75,No,Basic,College,01-01-11,Medical Leave,Unhealthy,F,12780,Rural,Married,111,17,53,2,6,Personal Auto,Personal L1,Offer2,Call Center,225.44,Sports Car,Midsize
JO64353,Oregon,5301.84,No,Basic,High School Or Below,01-01-11,Employed,Healthy,F,20269,Suburban,Married,66,14,79,0,3,Personal Auto,Personal L3,Offer1,Agent,475.2,Two-Door Car,Small
OL27257,Nevada,4381.88,No,Premium,College,01-01-11,Medical Leave,Unhealthy,F,20394,Urban,Married,115,28,84,0,1,Personal Auto,Personal L3,Offer1,Branch,508.61,Two-Door Car,Midsize
JO13576,California,2633.01,No,Basic,High School Or Below,01-01-11,Retired,Healthy,F,21861,Suburban,Married,69,3,11,0,1,Personal Auto,Personal L3,Offer2,Agent,348.28,Four-Door Car,Midsize
VU53417,Arizona,3837.36,No,Extended,High School Or Below,01-01-11,Medical Leave,Unhealthy,M,23051,Suburban,Divorced,99,31,86,0,1,Personal Auto,Personal L1,Offer1,Agent,475.2,Two-Door Car,Midsize
LC92080,Oregon,7247.74,No,Basic,College,01-01-11,Employed,Healthy,M,23541,Rural,Married,62,12,38,0,2,Personal Auto,Personal L3,Offer2,Agent,98.92,Two-Door Car,Midsize
WE19034,Oregon,2427.77,No,Basic,College,01-01-11,Employed,Healthy,M,24409,Suburban,Married,62,4,13,0,1,Corporate Auto,Corporate L2,Offer4,Agent,297.6,Four-Door Car,Small
YR85283,Nevada,15083.78,No,Extended,High School Or Below,01-01-11,Employed,Healthy,F,26021,Urban,Married,126,6,32,0,2,Personal Auto,Personal L2,Offer4,Agent,331.85,SUV,Small
ZP27971,California,3803.8,No,Extended,High School Or Below,01-01-11,Employed,Healthy,M,26050,Suburban,Married,97,4,51,0,1,Personal Auto,Personal L3,Offer2,Branch,465.6,Four-Door Car,Small
RA27021,Nevada,27564.74,No,Extended,Bachelor,01-01-11,Disabled,Healthy,F,26410,Rural,Married,91,17,90,0,2,Corporate Auto,Corporate L1,Offer2,Agent,184.52,Four-Door Car,Large
LK91880,California,8376.33,No,Basic,College,01-01-11,Employed,Healthy,F,26448,Rural,Married,105,7,42,0,3,Personal Auto,Personal L3,Offer3,Agent,75.33,Sports Car,Midsize
FN69743,California,4636.55,Yes,Basic,College,01-01-11,Retired,Healthy,M,26802,Suburban,Married,66,7,43,1,5,Corporate Auto,Corporate L1,Offer2,Agent,316.8,Two-Door Car,Midsize
EF87528,Arizona,4636.55,Yes,Basic,College,01-01-11,Retired,Healthy,M,26802,Suburban,Married,66,7,43,1,5,Special Auto,Special L3,Offer2,Agent,316.8,Two-Door Car,Midsize
UQ73252,Arizona,4636.55,Yes,Basic,College,01-01-11,Retired,Healthy,M,26802,Suburban,Married,66,7,43,1,5,Personal Auto,Personal L3,Offer2,Agent,316.8,Two-Door Car,Midsize
AM89558,Nevada,4636.55,Yes,Basic,College,01-01-11,Retired,Healthy,M,26802,Suburban,Married,66,7,43,1,5,Corporate Auto,Corporate L3,Offer2,Agent,316.8,Two-Door Car,Midsize
AH53588,California,4636.55,Yes,Basic,College,01-01-11,Retired,Healthy,M,26802,Suburban,Married,66,7,43,1,5,Personal Auto,Personal L2,Offer2,Agent,316.8,Two-Door Car,Midsize
TG37225,California,4636.55,Yes,Basic,College,01-01-11,Retired,Healthy,M,26802,Suburban,Married,66,7,43,1,5,Personal Auto,Personal L3,Offer2,Agent,316.8,Two-Door Car,Midsize
JV79596,Oregon,14594.45,No,Basic,Bachelor,01-01-11,Disabled,Healthy,F,27627,Suburban,Married,63,10,43,0,2,Special Auto,Special L2,Offer3,Call Center,453.6,Two-Door Car,Small
TM12486,Oregon,2959.95,No,Extended,High School Or Below,01-01-11,Retired,Healthy,M,28140,Suburban,Single,85,23,5,0,1,Personal Auto,Personal L3,Offer3,Web,612,Four-Door Car,Small
NP19156,Arizona,4624.56,No,Basic,Master,01-01-11,Employed,Healthy,F,28264,Urban,Divorced,61,22,12,4,6,Corporate Auto,Corporate L2,Offer1,Agent,167.89,Four-Door Car,Midsize
CZ57208,California,15245.25,No,Basic,Bachelor,01-01-11,Employed,Healthy,F,30205,Suburban,Single,195,24,1,0,4,Personal Auto,Personal L3,Offer1,Agent,1329.96,Luxury SUV,Large
RA63927,Oregon,7193.1,No,Extended,High School Or Below,01-01-11,Employed,Healthy,M,30886,Rural,Married,91,7,53,0,4,Personal Auto,Personal L1,Offer3,Web,103.42,Two-Door Car,Midsize
RT36566,California,5260.62,No,Basic,Bachelor,01-01-11,Employed,Healthy,F,31006,Suburban,Divorced,67,20,16,0,4,Personal Auto,Personal L3,Offer2,Call Center,321.6,Four-Door Car,Midsize
UD27331,Nevada,3241.84,No,Extended,Bachelor,01-01-11,Employed,Healthy,M,33701,Suburban,Single,88,14,22,3,1,Personal Auto,Personal L3,Offer1,Agent,460.82,Four-Door Car,Midsize
LO15516,California,2691.7,No,Basic,Bachelor,01-01-11,Employed,Healthy,M,34322,Suburban,Married,70,20,46,2,1,Corporate Auto,Corporate L2,Offer2,Agent,336,Four-Door Car,Midsize
XJ97760,California,4739.86,No,Basic,Master,01-01-11,Employed,Healthy,M,35039,Urban,Single,61,7,87,0,8,Personal Auto,Personal L1,Offer1,Call Center,254.31,Four-Door Car,Midsize
AC75391,Arizona,5768.09,No,Basic,College,01-01-11,Employed,Healthy,F,35091,Suburban,Divorced,74,27,19,0,9,Corporate Auto,Corporate L1,Offer1,Branch,418.93,Two-Door Car,Midsize
NU64028,Nevada,12265.6,No,Basic,Bachelor,01-01-11,Employed,Healthy,M,35693,Suburban,Divorced,103,8,63,0,2,Personal Auto,Personal L1,Offer1,Branch,494.4,Sports Car,Small
WR88041,Washington,5043.8,No,Basic,High School Or Below,01-01-11,Employed,Healthy,M,35832,Urban,Divorced,65,1,44,0,7,Personal Auto,Personal L3,Offer1,Agent,177.21,Four-Door Car,Midsize
VO25412,Washington,8936.82,No,Basic,Master,01-01-11,Employed,Healthy,F,37520,Rural,Married,74,21,30,0,2,Special Auto,Special L3,Offer1,Agent,163.58,Two-Door Car,Midsize
BK57087,California,4347.16,No,Basic,College,01-01-11,Employed,Healthy,F,38223,Suburban,Married,112,27,18,2,1,Personal Auto,Personal L3,Offer3,Branch,537.6,SUV,Midsize
ZM28138,Arizona,7227.12,No,Basic,Bachelor,01-01-11,Employed,Healthy,F,40153,Suburban,Single,61,1,99,0,2,Personal Auto,Personal L3,Offer1,Agent,340.07,Four-Door Car,Midsize
SG71810,Oregon,11610.25,No,Basic,College,01-01-11,Employed,Healthy,F,41503,Rural,Married,73,28,69,0,2,Personal Auto,Personal L3,Offer1,Agent,15,Two-Door Car,Small
GG20671,Nevada,15673.14,No,Extended,College,01-01-11,Employed,Healthy,M,43267,Suburban,Married,78,8,10,0,2,Special Auto,Special L2,Offer4,Agent,453.07,Four-Door Car,Large
XZ81226,Arizona,6446.92,No,Extended,Bachelor,01-01-11,Employed,Healthy,F,43478,Suburban,Married,80,27,79,0,9,Personal Auto,Personal L1,Offer1,Branch,384,Four-Door Car,Midsize
LO75919,Arizona,6008.18,No,Extended,Bachelor,01-01-11,Employed,Healthy,M,43543,Urban,Married,76,11,62,0,8,Personal Auto,Personal L3,Offer1,Call Center,339.26,Two-Door Car,Midsize
HR28499,California,3890.96,No,Extended,Bachelor,01-01-11,Employed,Healthy,M,43578,Rural,Married,98,5,46,0,1,Personal Auto,Personal L1,Offer2,Agent,105.66,Two-Door Car,Midsize
BA19651,California,6134.39,No,Extended,High School Or Below,01-01-11,Employed,Healthy,M,43875,Urban,Divorced,78,18,33,0,5,Corporate Auto,Corporate L3,Offer3,Agent,289.47,Four-Door Car,Midsize
AL43475,California,7373.23,No,Basic,College,01-01-11,Employed,Healthy,F,44938,Suburban,Married,183,7,37,0,1,Personal Auto,Personal L3,Offer2,Branch,2069.31,Luxury Car,Large
NK53938,Oregon,2599.97,No,Basic,Master,01-01-11,Employed,Healthy,M,45181,Suburban,Married,65,21,68,0,1,Personal Auto,Personal L2,Offer4,Call Center,312,Four-Door Car,Midsize
TP20456,Arizona,9090.27,No,Extended,High School Or Below,01-01-11,Employed,Healthy,M,45310,Suburban,Married,229,28,70,0,1,Personal Auto,Personal L2,Offer3,Agent,1550.38,Luxury SUV,Midsize
OQ45659,Arizona,41745.01,No,Premium,College,01-01-11,Employed,Healthy,F,45431,Suburban,Married,116,23,81,0,2,Personal Auto,Personal L3,Offer2,Branch,556.8,Four-Door Car,Midsize
MO82744,California,5656.2,No,Basic,Bachelor,01-01-11,Employed,Healthy,F,45586,Urban,Divorced,72,17,20,0,4,Personal Auto,Personal L2,Offer1,Branch,203.42,Four-Door Car,Midsize
XC16387,Arizona,5040.41,No,Basic,High School Or Below,01-01-11,Employed,Healthy,F,46072,Rural,Single,64,0,61,0,4,Personal Auto,Personal L3,Offer1,Branch,25.93,Four-Door Car,Midsize
WB38524,California,2969.59,No,Basic,High School Or Below,01-01-11,Employed,Healthy,M,46131,Suburban,Married,74,27,28,0,1,Personal Auto,Personal L3,Offer2,Branch,355.2,Two-Door Car,Small
SG81493,Arizona,4443.74,No,Premium,Bachelor,01-01-11,Employed,Healthy,M,46384,Rural,Married,113,33,93,0,1,Corporate Auto,Corporate L1,Offer2,Web,251.77,Four-Door Car,Midsize
QC35222,California,2683.47,No,Basic,Bachelor,01-01-11,Employed,Healthy,F,48269,Urban,Married,69,3,79,3,1,Corporate Auto,Corporate L2,Offer3,Web,282.15,Four-Door Car,Midsize
EL70257,California,8404.4,No,Basic,High School Or Below,01-01-11,Employed,Healthy,F,48315,Suburban,Divorced,71,34,56,0,2,Personal Auto,Personal L1,Offer1,Agent,340.8,Four-Door Car,Midsize
RH97231,Washington,8694,No,Basic,Bachelor,01-01-11,Employed,Healthy,M,48893,Suburban,Married,110,9,26,0,3,Personal Auto,Personal L3,Offer1,Branch,787.89,SUV,Midsize
ZQ28996,Nevada,5388.02,No,Basic,College,01-01-11,Employed,Healthy,M,48895,Urban,Married,68,16,27,0,7,Corporate Auto,Corporate L1,Offer1,Web,325.01,Four-Door Car,Large
AX28231,Washington,5431.37,No,Basic,High School Or Below,01-01-11,Employed,Healthy,M,49345,Urban,Married,69,10,12,0,7,Personal Auto,Personal L3,Offer2,Agent,251.08,Two-Door Car,Midsize
BD69478,California,5194.65,No,Basic,College,01-01-11,Employed,Healthy,M,51883,Suburban,Married,66,8,99,0,9,Personal Auto,Personal L2,Offer2,Call Center,623.75,Two-Door Car,Small
IV37346,Oregon,7412.03,No,Basic,College,01-01-11,Employed,Healthy,F,52497,Suburban,Divorced,63,22,46,0,2,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Two-Door Car,Small
LR32149,Arizona,22940.38,No,Basic,Bachelor,01-01-11,Employed,Healthy,F,52993,Urban,Married,64,16,86,0,2,Personal Auto,Personal L1,Offer1,Call Center,304.7,Four-Door Car,Midsize
VE55982,Nevada,2644.68,No,Basic,Bachelor,01-01-11,Employed,Healthy,M,54000,Suburban,Divorced,66,15,45,0,1,Corporate Auto,Corporate L1,Offer1,Call Center,373.88,Two-Door Car,Midsize
OH83248,California,8458.53,No,Premium,Master,01-01-11,Employed,Healthy,M,57394,Urban,Married,106,8,11,0,3,Personal Auto,Personal L3,Offer4,Call Center,316.49,Four-Door Car,Midsize
ZS35830,Oregon,2685.9,No,Basic,College,01-01-11,Employed,Healthy,F,58166,Rural,Married,67,3,19,0,1,Personal Auto,Personal L2,Offer2,Call Center,91.91,Four-Door Car,Midsize
SV34223,California,20477.11,No,Basic,College,01-01-11,Employed,Healthy,F,58317,Suburban,Married,73,0,56,0,2,Personal Auto,Personal L2,Offer4,Call Center,350.4,Four-Door Car,Midsize
UU84036,California,8267.85,No,Basic,High School Or Below,01-01-11,Employed,Healthy,M,59597,Urban,Married,69,6,59,0,2,Special Auto,Special L2,Offer1,Agent,222.79,Two-Door Car,Midsize
TM23514,Oregon,10272.61,No,Extended,College,01-01-11,Employed,Healthy,M,60145,Urban,Single,132,8,28,0,3,Personal Auto,Personal L3,Offer3,Web,580.47,SUV,Midsize
TC84427,Oregon,5049.69,No,Basic,High School Or Below,01-01-11,Employed,Healthy,F,61080,Urban,Single,66,7,41,2,9,Personal Auto,Personal L3,Offer1,Call Center,294.28,Four-Door Car,Midsize
FC68244,Oregon,6126.57,No,Extended,High School Or Below,01-01-11,Employed,Healthy,M,61139,Suburban,Married,76,4,16,0,4,Personal Auto,Personal L2,Offer2,Web,364.8,Four-Door Car,Midsize
VQ57815,Oregon,8828.38,No,Basic,Doctor,01-01-11,Employed,Healthy,M,61246,Rural,Married,110,24,21,0,3,Personal Auto,Personal L2,Offer2,Branch,159.24,Sports Car,Midsize
DH68319,Oregon,2787.5,No,Basic,College,01-01-11,Employed,Healthy,F,62506,Suburban,Married,69,3,90,0,1,Personal Auto,Personal L1,Offer1,Branch,331.2,Two-Door Car,Large
ZT52415,Oregon,8145.99,No,Basic,Bachelor,01-01-11,Employed,Healthy,F,62534,Suburban,Married,68,10,1,0,2,Personal Auto,Personal L1,Offer2,Branch,326.4,Two-Door Car,Midsize
DJ27518,California,10089.79,No,Extended,High School Or Below,01-01-11,Employed,Healthy,F,63657,Suburban,Single,128,1,26,0,7,Corporate Auto,Corporate L3,Offer4,Agent,614.4,Sports Car,Midsize
QW81912,California,8006.22,No,Extended,High School Or Below,01-01-11,Employed,Healthy,F,63762,Rural,Married,99,13,55,0,4,Personal Auto,Personal L1,Offer2,Branch,108.16,Four-Door Car,Midsize
PO56357,California,5363.53,No,Basic,High School Or Below,01-01-11,Employed,Healthy,F,64604,Urban,Married,67,18,71,1,8,Personal Auto,Personal L3,Offer1,Web,272.45,Four-Door Car,Midsize
UM94104,Oregon,5214.97,No,Basic,High School Or Below,01-01-11,Employed,Healthy,M,65375,Rural,Married,65,9,84,0,3,Personal Auto,Personal L3,Offer4,Branch,6.08,Four-Door Car,Midsize
OG30514,Nevada,20018.2,No,Basic,Bachelor,01-01-11,Employed,Healthy,F,65900,Suburban,Married,62,17,41,0,2,Personal Auto,Personal L3,Offer1,Agent,297.6,Four-Door Car,Midsize
XL80761,California,9294.09,No,Basic,College,01-01-11,Employed,Healthy,M,67544,Suburban,Married,116,2,15,0,3,Corporate Auto,Corporate L3,Offer1,Branch,556.8,SUV,Small
HQ32112,Arizona,5244.4,No,Extended,High School Or Below,01-01-11,Employed,Healthy,M,68131,Rural,Married,130,22,27,0,1,Personal Auto,Personal L2,Offer4,Branch,226.61,SUV,Midsize
UX87150,California,7680.15,No,Extended,College,01-01-11,Employed,Healthy,M,68229,Suburban,Married,96,11,41,0,5,Corporate Auto,Corporate L2,Offer4,Branch,460.8,Four-Door Car,Midsize
WW41496,Nevada,31234.89,No,Extended,Bachelor,01-01-11,Employed,Healthy,F,70164,Urban,Divorced,88,34,3,0,2,Personal Auto,Personal L3,Offer2,Agent,375.4,Two-Door Car,Midsize
ZZ22858,Arizona,15016.19,No,Basic,Bachelor,01-01-11,Employed,Healthy,F,70619,Rural,Married,187,2,84,0,3,Personal Auto,Personal L3,Offer3,Branch,293.95,Luxury Car,Midsize
XE10977,Oregon,2677.5,No,Basic,High School Or Below,01-01-11,Employed,Healthy,F,71684,Urban,Married,66,7,17,0,1,Personal Auto,Personal L3,Offer2,Web,196.07,Two-Door Car,Midsize
UH22701,Oregon,9726.55,No,Extended,Master,01-01-11,Employed,Healthy,F,72236,Suburban,Married,80,2,29,0,2,Personal Auto,Personal L3,Offer2,Call Center,518.06,Four-Door Car,Midsize
CY30418,Washington,5783.18,No,Basic,College,01-01-11,Employed,Healthy,M,72354,Rural,Divorced,73,9,10,0,8,Personal Auto,Personal L3,Offer1,Agent,13.95,Four-Door Car,Midsize
RK63095,California,3122.98,No,Extended,College,01-01-11,Employed,Healthy,M,72916,Suburban,Single,80,25,72,0,1,Personal Auto,Personal L3,Offer2,Web,384,Two-Door Car,Midsize
IG94072,Oregon,9928.87,No,Extended,High School Or Below,01-01-11,Employed,Healthy,F,75425,Suburban,Married,123,3,49,0,6,Personal Auto,Personal L1,Offer1,Branch,823.8,Sports Car,Large
RY23571,California,2483.67,No,Basic,Bachelor,01-01-11,Employed,Healthy,F,75615,Rural,Married,65,16,39,5,1,Personal Auto,Personal L3,Offer2,Branch,156.55,Four-Door Car,Midsize
EZ30537,Oregon,23984.62,No,Premium,Doctor,01-01-11,Employed,Healthy,F,79655,Rural,Married,296,12,17,0,9,Personal Auto,Personal L3,Offer2,Branch,498.16,Luxury Car,Midsize
ZF77631,California,22758.91,No,Basic,Master,01-01-11,Employed,Healthy,M,80540,Rural,Married,63,27,74,0,2,Personal Auto,Personal L2,Offer4,Agent,65.85,Four-Door Car,Midsize
VF21395,Oregon,2652.7,No,Basic,Bachelor,01-01-11,Employed,Healthy,M,82655,Suburban,Married,66,8,93,0,1,Personal Auto,Personal L2,Offer2,Web,316.8,Two-Door Car,Midsize
ZF70768,California,4050.28,No,Premium,High School Or Below,01-01-11,Employed,Healthy,M,82758,Rural,Married,101,16,37,0,1,Personal Auto,Personal L2,Offer2,Branch,179.43,Two-Door Car,Large
DY92795,Oregon,3226.85,No,Extended,Bachelor,01-01-11,Employed,Healthy,F,83252,Suburban,Married,80,4,98,0,1,Personal Auto,Personal L1,Offer2,Call Center,384,Four-Door Car,Midsize
KR62797,Arizona,4591.63,No,Basic,High School Or Below,01-01-11,Employed,Healthy,F,83297,Suburban,Married,113,6,28,0,1,Personal Auto,Personal L2,Offer2,Call Center,542.4,SUV,Midsize
BW52697,California,5505.06,No,Basic,College,01-01-11,Employed,Healthy,F,86132,Urban,Married,68,30,10,0,3,Personal Auto,Personal L3,Offer2,Call Center,301.44,Two-Door Car,Midsize
LX71137,Arizona,3694.15,No,Extended,Bachelor,01-01-11,Employed,Healthy,F,87485,Suburban,Divorced,92,12,57,0,1,Personal Auto,Personal L3,Offer3,Branch,441.6,Four-Door Car,Midsize
US45383,California,12280.77,Yes,Premium,College,01-01-11,Employed,Healthy,M,88340,Suburban,Married,102,16,1,0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,Two-Door Car,Midsize
XS17260,Oregon,12280.77,Yes,Premium,College,01-01-11,Employed,Healthy,M,88340,Suburban,Married,102,16,1,0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,Two-Door Car,Midsize
